"Fold_ID","Feature_Label","Impact_SHAP_Value"
5,"Spatial bias",0.0226856557948069
5,"Households",0.00764748026122988
5,"Population 15-39",0.0075260687187201
5,"Population",0.00654918310868494
5,"Internet",0.00619241226788826
5,"Population 0-14",0.00514477200127177
5,"Literacy",0.00312764597106886
5,"Electricity",0.00308504987961989
5,"Afrodescendants",0.00221307159968774
5,"Poverty",0.00219614200874356
5,"Migrants",0.00211259195930475
5,"Indigenous language",0.00202613621905955
5,"Mean occupants",0.00191003672419635
5,"Population 65+",0.00176578427324816
5,"Cell phone",0.001370063529128
5,"Income",0.00132183677520053
5,"Extreme poverty",0.00127704284399482
5,"Poor housing conditions",0.00125327795633344
5,"Working",0.00120266322576079
5,"Educational lag",0.000968670516174835
