"Fold_ID","Feature_Label","Impact_SHAP_Value"
1,"Spatial bias",0.0148039504236319
1,"Population 0-14",0.0089905335952052
1,"Internet",0.00812026108890423
1,"Households",0.00744624232506983
1,"Population 15-39",0.0061436930404032
1,"Literacy",0.00566403985571119
1,"Educational lag",0.00505209358422816
1,"Income",0.00421684293794093
1,"Population",0.0041355838336069
1,"Mean occupants",0.00300549500414828
1,"Indigenous language",0.00297648213390364
1,"Poverty",0.00297055263515043
1,"Cell phone",0.00280798916312621
1,"Migrants",0.00268130639681972
1,"University degree",0.00264606114697882
1,"Female",0.00254010674604732
1,"Population 65+",0.00222808600649946
1,"Extreme poverty",0.00196160532384974
1,"Car",0.00175561990253604
1,"Electricity",0.00175086001106031
