"Fold_ID","Feature_Label","Impact_SHAP_Value"
5,"Internet",0.000900147015134413
5,"Income",0.000515929067400751
5,"Spatial bias",0.00025225431326485
5,"Cell phone",0.000165292660266095
5,"Migrants",0.000107492291183234
5,"University degree",9.77386093872485e-05
5,"Car",9.03027502326723e-05
5,"Population",8.44008948834505e-05
5,"Poverty",7.45041955030704e-05
5,"Disability",6.5498526971985e-05
5,"Educational lag",6.23746016657451e-05
5,"Female",6.05978184317798e-05
5,"Literacy",5.61130365735561e-05
5,"Population 0-14",5.35927397882923e-05
5,"Extreme poverty",5.19736572525492e-05
5,"Population 15-39",4.94609674234984e-05
5,"Electricity",4.67216291783114e-05
5,"Households",4.24507544078405e-05
5,"Afrodescendants",3.65357331238528e-05
5,"Mean occupants",3.6436205724911e-05
