"Fold_ID","Feature_Label","Impact_SHAP_Value"
4,"Internet",0.000849035409703336
4,"Spatial bias",0.000301000541049757
4,"Income",0.000277688912451323
4,"University degree",0.000220858663412456
4,"Cell phone",0.000188870105521097
4,"Households",0.000140642474779056
4,"Extreme poverty",8.53335561055254e-05
4,"Car",8.2747618365755e-05
4,"Poor housing conditions",8.2671982467472e-05
4,"Female",7.54909252235473e-05
4,"Population 0-14",7.25065912940879e-05
4,"Electricity",7.18675577110639e-05
4,"Migrants",5.42690128543542e-05
4,"Disability",3.81508787417922e-05
4,"Literacy",3.69968386177133e-05
4,"Population",3.69413101657089e-05
4,"Educational lag",3.08906475347244e-05
4,"Mean age",2.60414768485418e-05
4,"Mean occupants",2.43907602977375e-05
4,"Vulnerable income",2.17053138412607e-05
