"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"Current_income","Income",-0.00136762940383051
1001,"P_cell_phone","Cell phone",-0.000140568805363728
1001,"P_female","Female",3.89417737096664e-05
1001,"P_internet","Internet",-0.00291017195559107
1001,"P_migrants","Migrants",8.43429402266338e-05
1001,"P_university_studies","University degree",-0.000521329788170988
1001,"bias_w","Spatial bias",-0.00017660520870777
1002,"Current_income","Income",-0.000112216985144187
1002,"P_cell_phone","Cell phone",-6.63042263795433e-05
1002,"P_female","Female",-1.81906912644081e-06
1002,"P_internet","Internet",-0.000243255079112714
1002,"P_migrants","Migrants",1.10643285466949e-05
1002,"P_university_studies","University degree",0.000144776970046223
1002,"bias_w","Spatial bias",0.000114065926027251
1003,"Current_income","Income",-0.0003534740426403
1003,"P_cell_phone","Cell phone",-0.000213853436434874
1003,"P_female","Female",-2.12597953463955e-06
1003,"P_internet","Internet",-0.000902879241039045
1003,"P_migrants","Migrants",-8.24747748993104e-05
1003,"P_university_studies","University degree",0.000142915193464432
1003,"bias_w","Spatial bias",2.06467120733578e-06
1004,"Current_income","Income",-8.74099105203641e-05
1004,"P_cell_phone","Cell phone",-8.25596553113428e-05
1004,"P_female","Female",4.96812140227121e-06
1004,"P_internet","Internet",-0.000980208787950687
1004,"P_migrants","Migrants",1.22334461707396e-05
1004,"P_university_studies","University degree",1.09224583866308e-06
1004,"bias_w","Spatial bias",0.000190737195225665
1005,"Current_income","Income",-0.000466990488348529
1005,"P_cell_phone","Cell phone",-0.000132134103296266
1005,"P_female","Female",2.86056310869753e-05
1005,"P_internet","Internet",-0.0021588470262941
1005,"P_migrants","Migrants",2.86156633251267e-05
1005,"P_university_studies","University degree",-0.000399954464228358
1005,"bias_w","Spatial bias",-7.89117621025071e-07
1006,"Current_income","Income",-0.000252947487751953
1006,"P_cell_phone","Cell phone",-0.000348532819771208
1006,"P_female","Female",7.08821329453713e-06
1006,"P_internet","Internet",-0.00189410508028232
1006,"P_migrants","Migrants",3.12618215048133e-05
1006,"P_university_studies","University degree",-0.000301342812235816
1006,"bias_w","Spatial bias",0.000132519207909354
1007,"Current_income","Income",-0.000271366326160205
1007,"P_cell_phone","Cell phone",-0.000404145124775823
1007,"P_female","Female",3.91784340081358e-06
1007,"P_internet","Internet",-0.00136704742908478
1007,"P_migrants","Migrants",2.4537287572457e-05
1007,"P_university_studies","University degree",-0.000124739495731774
1007,"bias_w","Spatial bias",0.000175733677679091
1008,"Current_income","Income",4.18314061221281e-05
1008,"P_cell_phone","Cell phone",-0.00026675162371248
1008,"P_female","Female",-6.26972464488063e-05
1008,"P_internet","Internet",0.000234115943385405
1008,"P_migrants","Migrants",1.63367976711015e-05
