"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Literacy",0.0120439625589495
3,"Internet",0.0106277644558199
3,"Population",0.0090017994615658
3,"Population 15-39",0.00872461606256291
3,"Population 0-14",0.00828485321270385
3,"Educational lag",0.00734857115430327
3,"Households",0.00644097722845146
3,"Electricity",0.00516751226925847
3,"Indigenous language",0.00365580296884025
3,"Mean occupants",0.00330502860669199
3,"University degree",0.00297686768914333
3,"Female",0.0025744596572565
3,"Extreme poverty",0.00252252266516336
3,"Poor housing conditions",0.00231405264965969
3,"Population 65+",0.002251337865187
3,"Car",0.00200604952535934
3,"Income",0.00195208801096873
3,"Working",0.00172338141787021
3,"Afrodescendants",0.00169846842444463
3,"Migrants",0.00149479113844754
