"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Internet",0.00117198298350978
3,"Spatial bias",0.000266593125151055
3,"Cell phone",0.000139727053053053
3,"Income",0.000137912936809639
3,"University degree",0.00013737029887149
3,"Households",0.000117608877714207
3,"Extreme poverty",0.00010130470486094
3,"Migrants",8.86453779222375e-05
3,"Population 0-14",8.0542002126759e-05
3,"Mean occupants",7.81577496916156e-05
3,"Car",7.04907775017945e-05
3,"Disability",7.03473304559569e-05
3,"Female",6.49140014361002e-05
3,"Population",6.43705716498143e-05
3,"Electricity",4.85543921771706e-05
3,"Population 15-39",4.51784560823342e-05
3,"Educational lag",3.99937842892795e-05
3,"Vulnerable income",3.84841764403696e-05
3,"Afrodescendants",3.64254196270128e-05
3,"Poverty",2.92352671430117e-05
