"Fold_ID","Feature_Label","Impact_SHAP_Value"
4,"Literacy",0.0120515715439014
4,"Population 15-39",0.00942029526695888
4,"Population",0.00866136959795155
4,"Population 0-14",0.00828429281365575
4,"Educational lag",0.00696955424060598
4,"Internet",0.00617088432952117
4,"Electricity",0.00489983846753371
4,"Households",0.00459342387812743
4,"Indigenous language",0.00309508184652092
4,"University degree",0.00268032102792072
4,"Female",0.00257692886403646
4,"Poor housing conditions",0.00254449511687358
4,"Extreme poverty",0.00239154958201385
4,"Car",0.00207480473489567
4,"Afrodescendants",0.00198050266647174
4,"Income",0.00124060210098456
4,"Working",0.00110542726056374
4,"Poverty",0.000708655030800114
4,"Mean occupants",0.000600907078941676
4,"Cell phone",0.000419347509252345
