"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
5,1001,"Total_Population","Population",0.01381990686059
5,1001,"Total_houses","Households",0.0170956365764141
5,1001,"P_age_00_14","Population 0-14",-0.00300507969222963
5,1001,"P_age_15_39","Population 15-39",-0.0075013805180788
5,1001,"P_read_write","Literacy",-0.00470813643187284
5,1001,"P_internet","Internet",-0.00455080112442374
5,1001,"bias_w","Spatial bias",-0.0268582701683044
5,1002,"Total_Population","Population",0.00646659778431058
5,1002,"Total_houses","Households",0.0100349625572562
5,1002,"P_age_00_14","Population 0-14",0.00915318168699741
5,1002,"P_age_15_39","Population 15-39",-0.00585606833919883
5,1002,"P_read_write","Literacy",-0.00314048957079649
5,1002,"P_internet","Internet",-0.00654432596638799
5,1002,"bias_w","Spatial bias",0.00593741750344634
5,1003,"Total_Population","Population",0.00845229998230934
5,1003,"Total_houses","Households",0.0115364184603095
5,1003,"P_age_00_14","Population 0-14",-0.0021314334589988
5,1003,"P_age_15_39","Population 15-39",-0.00526589900255203
5,1003,"P_read_write","Literacy",-0.00186782015953213
5,1003,"P_internet","Internet",-0.0074689625762403
5,1003,"bias_w","Spatial bias",-0.0254594627767801
5,1004,"Total_Population","Population",0.00507577043026686
5,1004,"Total_houses","Households",0.00361166149377823
5,1004,"P_age_00_14","Population 0-14",0.00914485938847065
5,1004,"P_age_15_39","Population 15-39",-0.00845587346702814
5,1004,"P_read_write","Literacy",-0.00358598213642836
5,1004,"P_internet","Internet",-0.00986389070749283
5,1004,"bias_w","Spatial bias",0.0102475890889764
5,1005,"Total_Population","Population",0.0208048261702061
5,1005,"Total_houses","Households",0.026720879599452
5,1005,"P_age_00_14","Population 0-14",0.00760693708434701
5,1005,"P_age_15_39","Population 15-39",-0.00885446835309267
5,1005,"P_read_write","Literacy",-0.00642447872087359
5,1005,"P_internet","Internet",-0.00558267720043659
5,1005,"bias_w","Spatial bias",-0.0431925468146801
5,1006,"Total_Population","Population",0.0138483783230186
5,1006,"Total_houses","Households",0.0165616627782583
5,1006,"P_age_00_14","Population 0-14",0.00820240564644337
5,1006,"P_age_15_39","Population 15-39",-0.00825714692473412
5,1006,"P_read_write","Literacy",-0.00374058471061289
5,1006,"P_internet","Internet",-0.00720322318375111
5,1006,"bias_w","Spatial bias",-0.0264540258795023
5,1007,"Total_Population","Population",0.00738810142502189
5,1007,"Total_houses","Households",0.0126066273078322
5,1007,"P_age_00_14","Population 0-14",0.00797088444232941
5,1007,"P_age_15_39","Population 15-39",-0.00628204271197319
5,1007,"P_read_write","Literacy",-0.00284398021176457
5,1007,"P_internet","Internet",-0.0071046226657927
5,1007,"bias_w","Spatial bias",0.00509202387183905
5,1008,"Total_Population","Population",-0.0101870940998197
5,1008,"Total_houses","Households",-0.00176053319592029
5,1008,"P_age_00_14","Population 0-14",0.00609280774369836
5,1008,"P_age_15_39","Population 15-39",-0.0141540206968784
5,1008,"P_read_write","Literacy",-0.00907042436301708
5,1008,"P_internet","Internet",-0.00588647276163101
5,1008,"bias_w","Spatial bias",-0.00398319307714701
5,1009,"Total_Population","Population",0.00622811820358038
5,1009,"Total_houses","Households",0.00761136133223772
5,1009,"P_age_00_14","Population 0-14",0.00939950905740261
5,1009,"P_age_15_39","Population 15-39",-0.00584751693531871
5,1009,"P_read_write","Literacy",-0.00172294140793383
5,1009,"P_internet","Internet",-0.00667958613485098
5,1009,"bias_w","Spatial bias",0.00514479307457805
5,1010,"Total_Population","Population",0.00730477087199688
5,1010,"Total_houses","Households",0.00860006920993328
5,1010,"P_age_00_14","Population 0-14",0.00746621284633875
5,1010,"P_age_15_39","Population 15-39",-0.0085397632792592
5,1010,"P_read_write","Literacy",-0.00343754095956683
5,1010,"P_internet","Internet",0.00117578345816582
5,1010,"bias_w","Spatial bias",-0.0266030691564083
5,1011,"Total_Population","Population",0.0066241011954844
5,1011,"Total_houses","Households",0.0119472173973918
5,1011,"P_age_00_14","Population 0-14",0.00645464425906539
5,1011,"P_age_15_39","Population 15-39",-0.0201758202165365
5,1011,"P_read_write","Literacy",-0.00625756941735744
5,1011,"P_internet","Internet",-0.00128229463007301
5,1011,"bias_w","Spatial bias",-0.00773827498778701
5,2001,"Total_Population","Population",0.0101158693432808
5,2001,"Total_houses","Households",0.0115628382191062
5,2001,"P_age_00_14","Population 0-14",-0.00465748924762011
5,2001,"P_age_15_39","Population 15-39",-0.00707015162333846
5,2001,"P_read_write","Literacy",-0.00586954457685351
5,2001,"P_internet","Internet",-0.0063873715698719
5,2001,"bias_w","Spatial bias",-0.0277507193386555
5,2002,"Total_Population","Population",0.00957390107214451
5,2002,"Total_houses","Households",0.0121328057721257
5,2002,"P_age_00_14","Population 0-14",-0.00450680311769247
5,2002,"P_age_15_39","Population 15-39",-0.0074437577277422
5,2002,"P_read_write","Literacy",-0.00549238128587604
5,2002,"P_internet","Internet",-0.00511869788169861
5,2002,"bias_w","Spatial bias",-0.0312519073486328
5,2003,"Total_Population","Population",0.010299501940608
