"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Spatial bias",0.0183240042343617
3,"Internet",0.00867162419106909
3,"Population",0.00741717536775987
3,"Population 15-39",0.00720397586136412
3,"Population 0-14",0.00697991291111857
3,"Households",0.00629096653649077
3,"Literacy",0.00555916490687639
3,"Educational lag",0.00479308475521364
3,"Indigenous language",0.00387407680841127
3,"Mean occupants",0.00362082615275607
3,"Female",0.00296171673430692
3,"Extreme poverty",0.00262207479969216
3,"Cell phone",0.00248537450943128
3,"Electricity",0.00230927573485947
3,"Population 65+",0.00206407255219526
3,"Income",0.0019658993389987
3,"Migrants",0.001843201867264
3,"Afrodescendants",0.0018205556959561
3,"Poverty",0.00154613189617065
3,"University degree",0.00154382527570874
