"Fold_ID","Feature_Label","Impact_SHAP_Value"
1,"Spatial bias",0.0216128045317825
1,"Population 0-14",0.0100177270569735
1,"Households",0.00746023960036104
1,"Internet",0.00674831076700726
1,"Educational lag",0.00538743169262405
1,"Population 15-39",0.00462312833421535
1,"Income",0.00449975439166284
1,"Population",0.00419549322281687
1,"Indigenous language",0.00352823062695888
1,"University degree",0.00346946271107699
1,"Population 65+",0.0030482631064485
1,"Literacy",0.00301513498561902
1,"Vulnerable income",0.0026051220674302
1,"Extreme poverty",0.00245142312946572
1,"Mean age",0.00232326649866448
1,"Migrants",0.0022225185596034
1,"Female",0.00220584439203541
1,"Mean occupants",0.00213590815797716
1,"Poor housing conditions",0.0020060176512699
1,"Car",0.0018918024607272
